uwi,long,lat,lease,operator,fake_number
129,-102.3557636,32.3587665,FASKEN BLOCK `CB` A/C 2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,64
130,-102.5708732,32.2013798,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,26
131,-102.559533,32.1926599,UNIVERSITY `9` CEC,XTO ENERGY INCORPORATED,25
132,-102.559533,32.1926599,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,90
133,-102.5605913,32.2021205,UNIVERSITY `9CEC`,XTO ENERGY INCORPORATED,61
134,-102.5605913,32.2021205,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,21
135,-102.5729679,32.1819741,UNIVERSITY `9D`,XTO ENERGY INCORPORATED,75
136,-102.5729679,32.1819741,UNIVERSITY BLK 9 (PENN) UNIT,XTO ENERGY INCORPORATED,6
137,-102.5729679,32.1819741,UNIVERSITY 9D,XTO ENERGY INCORPORATED,54
138,-102.568414,32.194642,TEXAS` N`,XTO ENERGY INCORPORATED,39
139,-102.6000542,32.1480028,STATE `FI`,AMERICO ENERGY RESOURCES LLC,14
140,-102.3378472,32.3498533,FASKEN C B A/C-2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,60
141,-102.3378472,32.3498533,FASKEN C B A/C-2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,96
142,-102.3378472,32.3498533,FASKEN C B A-C 2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,65
143,-102.5736743,32.2083137,UNIVERSITY 9 `A`,XTO ENERGY INCORPORATED,88
144,-102.5736743,32.2083137,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,68
145,-102.5736743,32.2083137,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,56
146,-102.6322808,32.234693,BONER-FORD,BREITBURN OPERATING LIMITED PARTNERSHIP,85
147,-102.5562766,32.1904442,UNIVERSITY `9-H`,XTO ENERGY INCORPORATED,41
148,-102.5562766,32.1904442,UNIVERSITY 9 H,XTO ENERGY INCORPORATED,37
149,-102.8271634,32.2866248,LOTUS,LOTUS L L C,77
150,-102.5614939,32.1846693,STATE OF TEXAS BH,XTO ENERGY INCORPORATED,40
151,-102.5717464,32.1839677,UNIVERSITY `9` D,XTO ENERGY INCORPORATED,14
152,-102.5638,32.211,TEXAS `L`,XTO ENERGY INCORPORATED,28
153,-102.5638,32.211,TEXAS L,XTO ENERGY INCORPORATED,70
154,-102.5863414,32.2104484,TEXAS Q,XTO ENERGY INCORPORATED,67
155,-102.5796469,32.1896811,STATE UNIVERSITY `AT`,XTO ENERGY INCORPORATED,16
156,-102.5796469,32.1896811,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,37
157,-102.3749547,32.1462203,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,26
158,-102.5589776,32.2052946,UNIVERSITY 9 CEC,XTO ENERGY INCORPORATED,58
159,-103.0345855,32.1847806,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,69
160,-102.5808632,32.2018486,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,72
161,-103.0567028,32.1857833,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,27
